level,fold,accuracy,f1,precision,recall,ppv,npv,error,leakage,overkill,indeterminate,imperfection,indeterminate-adjusted precision,indeterminate-adjusted Recall,indeterminate-adjusted f1
30,2,0.75177304964539,0.3269230769230769,0.53125,0.2361111111111111,0.53125,0.78,0.2413793103448276,0.1896551724137931,0.05172413793103448,0.027586206896551724,0.2689655172413793,0.5,0.2948717948717949,0.3709677419354839
70,1,0.7829181494661922,0.35789473684210527,0.5,0.2786885245901639,0.5,0.8218623481781376,0.2103448275862069,0.15172413793103448,0.05862068965517241,0.03103448275862069,0.2413793103448276,0.4146341463414634,0.30158730158730157,0.3491891891891892
70,3,0.7676056338028169,0.32653061224489793,0.7272727272727273,0.21052631578947367,0.7272727272727273,0.7709923664122137,0.22837370242214533,0.20761245674740483,0.020761245674740483,0.01730103806228374,0.24567474048442905,0.6153846153846154,0.22077922077922077,0.32497013142174436
40,1,0.7915194346289752,0.37894736842105264,0.5454545454545454,0.2903225806451613,0.5454545454545454,0.824,0.20344827586206896,0.15172413793103448,0.05172413793103448,0.02413793103448276,0.2275862068965517,0.46153846153846156,0.30158730158730157,0.3648
20,1,0.7937062937062938,0.3655913978494624,0.53125,0.2786885245901639,0.53125,0.8267716535433071,0.20344827586206896,0.15172413793103448,0.05172413793103448,0.013793103448275862,0.21724137931034482,0.5,0.30158730158730157,0.3762376237623762
10,1,0.7923875432525952,0.375,0.5294117647058824,0.2903225806451613,0.5294117647058824,0.8274509803921568,0.20689655172413793,0.15172413793103448,0.05517241379310345,0.0034482758620689655,0.2103448275862069,0.5294117647058824,0.30158730158730157,0.38426966292134834
80,2,0.7427536231884058,0.297029702970297,0.5,0.2112676056338028,0.5,0.7723577235772358,0.24482758620689654,0.19310344827586207,0.05172413793103448,0.04827586206896552,0.29310344827586204,0.40540540540540543,0.28205128205128205,0.3326612903225807
90,3,0.7667844522968198,0.3125,0.7142857142857143,0.2,0.7142857142857143,0.7709923664122137,0.22837370242214533,0.20761245674740483,0.020761245674740483,0.020761245674740483,0.2491349480968858,0.6,0.22077922077922077,0.3227848101265823
90,1,0.7758007117437722,0.3368421052631579,0.48484848484848486,0.25806451612903225,0.48484848484848486,0.8145161290322581,0.21724137931034482,0.15862068965517243,0.05862068965517241,0.03103448275862069,0.2482758620689655,0.3902439024390244,0.2698412698412698,0.3190615835777126
20,2,0.7455830388692579,0.3333333333333333,0.5142857142857142,0.2465753424657534,0.5142857142857142,0.7782258064516129,0.2482758620689655,0.1896551724137931,0.05862068965517241,0.02413793103448276,0.27241379310344827,0.4864864864864865,0.2948717948717949,0.3671840354767184
