level,fold,accuracy,f1,precision,recall,ppv,npv,error,leakage,overkill,indeterminate,imperfection,indeterminate-adjusted precision,indeterminate-adjusted Recall,indeterminate-adjusted f1
40,3,0.903869407496977,0.21674876847290642,0.6875,0.1286549707602339,0.6875,0.908138101109741,0.09561034275405893,0.08959711365003006,0.006013229104028864,0.005411906193625977,0.10102224894768491,0.5945945945945946,0.14857142857142858,0.2377389858686617
20,3,0.9016887816646562,0.2048780487804878,0.6363636363636364,0.12209302325581395,0.6363636363636364,0.9070769230769231,0.09801563439567047,0.09079975947083584,0.0072158749248346366,0.003006614552014432,0.10102224894768491,0.6,0.13714285714285715,0.22325581395348837
80,2,0.8967459324155194,0.1791044776119403,0.5625,0.10650887573964497,0.5625,0.9035759897828863,0.09915865384615384,0.0907451923076923,0.008413461538461538,0.039663461538461536,0.13882211538461536,0.2222222222222222,0.1881720430107527,0.20378457059679767
10,2,0.8984802431610942,0.215962441314554,0.6388888888888888,0.12994350282485875,0.6388888888888888,0.9042883778744562,0.10036057692307693,0.09254807692307693,0.0078125,0.01141826923076923,0.11177884615384616,0.5,0.17204301075268819,0.256
30,1,0.8979343863912516,0.25,0.6363636363636364,0.15555555555555556,0.6363636363636364,0.9051186017478152,0.10096153846153846,0.09134615384615384,0.009615384615384616,0.010817307692307692,0.11177884615384616,0.49122807017543857,0.1783783783783784,0.2617193032148421
80,3,0.9033434650455927,0.18461538461538463,0.6923076923076923,0.10650887573964497,0.6923076923076923,0.9067325509573811,0.09561034275405893,0.09079975947083584,0.004810583283223091,0.010823812387251955,0.10643415514131088,0.47368421052631576,0.13714285714285715,0.21270310192023634
40,2,0.8972136222910216,0.1782178217821782,0.5625,0.10588235294117647,0.5625,0.9039797852179406,0.09975961538461539,0.09134615384615384,0.008413461538461538,0.029447115384615384,0.12920673076923078,0.27692307692307694,0.1827956989247312,0.2202231018351925
20,1,0.8995127892813642,0.2465753424657534,0.6428571428571429,0.15254237288135594,0.6428571428571429,0.90625,0.09915865384615384,0.09014423076923077,0.009014423076923076,0.013221153846153846,0.11237980769230768,0.48214285714285715,0.1891891891891892,0.27174694464414095
50,3,0.9040097205346294,0.18556701030927836,0.6666666666666666,0.10778443113772455,0.6666666666666666,0.9079678814082767,0.09500901984365605,0.08959711365003006,0.005411906193625977,0.010222489476849068,0.10523150932050512,0.5,0.14857142857142858,0.2290748898678414
30,3,0.9004224502112251,0.21052631578947367,0.6111111111111112,0.12716763005780346,0.6111111111111112,0.9068476249228871,0.09921828021647625,0.09079975947083584,0.00841852074564041,0.0036079374624173183,0.10282621767889356,0.55,0.13714285714285715,0.21954261954261958
70,2,0.8988693467336684,0.20689655172413793,0.6,0.125,0.6,0.905587668593449,0.0967548076923077,0.08834134615384616,0.008413461538461538,0.04326923076923077,0.14002403846153846,0.23595505617977527,0.20967741935483872,0.22204148027653517
40,1,0.8997555012224939,0.24074074074074073,0.5777777777777777,0.15204678362573099,0.5777777777777777,0.9088623507228158,0.0985576923076923,0.08713942307692307,0.01141826923076923,0.016826923076923076,0.11538461538461538,0.4406779661016949,0.21621621621621623,0.29009762900976294
10,1,0.8931159420289855,0.22026431718061673,0.5208333333333334,0.13966480446927373,0.5208333333333334,0.904228855721393,0.1063701923076923,0.09254807692307693,0.013822115384615384,0.004807692307692308,0.11117788461538461,0.5,0.16756756756756758,0.25101214574898784
90,3,0.9033434650455927,0.19289340101522842,0.6551724137931034,0.1130952380952381,0.6551724137931034,0.9077970297029703,0.09561034275405893,0.08959711365003006,0.006013229104028864,0.010823812387251955,0.10643415514131088,0.475,0.14857142857142858,0.22634593356242844
60,2,0.8998756218905473,0.20689655172413793,0.7,0.12138728323699421,0.7,0.9036755386565273,0.0967548076923077,0.09134615384615384,0.005408653846153846,0.03365384615384615,0.13040865384615385,0.2876712328767123,0.1827956989247312,0.22354414527238572
60,1,0.9015990159901599,0.23076923076923078,0.6153846153846154,0.14201183431952663,0.6153846153846154,0.9086326402016384,0.09615384615384616,0.08713942307692307,0.009014423076923076,0.02283653846153846,0.11899038461538462,0.39344262295081966,0.21621621621621623,0.27906976744186046
30,2,0.8983466013472137,0.20952380952380953,0.6285714285714286,0.12571428571428572,0.6285714285714286,0.9042553191489362,0.09975961538461539,0.09194711538461539,0.0078125,0.018629807692307692,0.11838942307692309,0.4,0.1774193548387097,0.2458100558659218
20,2,0.8983566646378576,0.215962441314554,0.6388888888888888,0.12994350282485875,0.6388888888888888,0.9041692594897324,0.10036057692307693,0.09254807692307693,0.0078125,0.012620192307692308,0.11298076923076923,0.4791666666666667,0.17204301075268819,0.25318197454420366
80,1,0.9011735639283508,0.1919191919191919,0.6551724137931034,0.11242603550295859,0.6551724137931034,0.9056603773584906,0.09615384615384616,0.09014423076923077,0.006009615384615385,0.027043269230769232,0.12319711538461539,0.3275862068965517,0.1891891891891892,0.23985572587917045
100,2,0.8965960179833012,0.16580310880829016,0.5925925925925926,0.0963855421686747,0.5925925925925926,0.9019607843137255,0.0967548076923077,0.09014423076923077,0.006610576923076923,0.06430288461538461,0.1610576923076923,0.14035087719298245,0.1935483870967742,0.16271186440677965
90,2,0.8934426229508197,0.1507537688442211,0.4838709677419355,0.08928571428571429,0.4838709677419355,0.9016077170418006,0.1015625,0.09194711538461539,0.009615384615384616,0.046875,0.1484375,0.16483516483516483,0.1774193548387097,0.17089590885551526
70,1,0.9024691358024691,0.21,0.6774193548387096,0.1242603550295858,0.6774193548387096,0.906859660163625,0.09495192307692307,0.0889423076923077,0.006009615384615385,0.026442307692307692,0.12139423076923077,0.3559322033898305,0.2,0.25609756097560976
