prob,mean_var
"[[0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276], [0.8000779487045726, 0.1999220512954276]]","[[0.8000779487045726, 0.1999220512954276], [0.0, 0.0]]"
"[[0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167], [0.8032823861793185, 0.19671761382068167]]","[[0.8032823861793185, 0.19671761382068167], [0.0, 0.0]]"
"[[0.7957210011862729, 0.20427899881372716], [0.7957210011862729, 0.20427899881372716], [0.7922126086417358, 0.20778739135826427], [0.7957210011862729, 0.20427899881372716], [0.7957210011862729, 0.20427899881372716], [0.7957210011862729, 0.20427899881372716], [0.7957210011862729, 0.20427899881372716], [0.7957210011862729, 0.20427899881372716], [0.7975435120087838, 0.20245648799121632], [0.7975435120087838, 0.20245648799121632]]","[[0.7957346640963214, 0.2042653359036787], [1.8950042891792312e-06, 1.8950042891791897e-06]]"
"[[0.801940933424287, 0.198059066575713], [0.801940933424287, 0.198059066575713], [0.801940933424287, 0.198059066575713], [0.801940933424287, 0.198059066575713], [0.801940933424287, 0.198059066575713], [0.801940933424287, 0.198059066575713], [0.801940933424287, 0.198059066575713], [0.801940933424287, 0.198059066575713], [0.8010808697931391, 0.198919130206861], [0.801940933424287, 0.198059066575713]]","[[0.8018549270611721, 0.1981450729388278], [6.65738504660946e-08, 6.657385046611181e-08]]"
"[[0.7938697981932638, 0.20613019187262896], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022], [0.789361362467098, 0.2106386375329022]]","[[0.7898122060397145, 0.21018779296687487], [1.8293393427271094e-06, 1.829347404447305e-06]]"
"[[0.7672662423418135, 0.23273375765818646], [0.7673130259675446, 0.23268697403245545], [0.7673130259675446, 0.23268697403245545], [0.7673130259675446, 0.23268697403245545], [0.7672662423418135, 0.23273375765818646], [0.7672662423418135, 0.23273375765818646], [0.7683736320281507, 0.2316263679718494], [0.7673130259675446, 0.23268697403245545], [0.7683736320281507, 0.2316263679718494], [0.7683736320281507, 0.2316263679718494]]","[[0.7676171726980071, 0.23238282730199294], [2.4561694337824487e-07, 2.456169433782079e-07]]"
"[[0.7482368310401087, 0.2517631689598912], [0.7482368310401087, 0.2517631689598912], [0.7482368310401087, 0.2517631689598912], [0.7482368310401087, 0.2517631689598912], [0.7482368310401087, 0.2517631689598912], [0.7482368310401087, 0.2517631689598912], [0.7482368310401087, 0.2517631689598912], [0.7497359985596045, 0.2502640014403956], [0.7497359985596045, 0.2502640014403956], [0.7482368310401087, 0.2517631689598912]]","[[0.7485366645440078, 0.25146333545599214], [3.596005202417653e-07, 3.596005202416854e-07]]"
"[[0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328], [0.7606719667769268, 0.23932803322307328]]","[[0.7606719667769269, 0.23932803322307325], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037], [0.7604647477576596, 0.23953525224234037]]","[[0.7604647477576595, 0.23953525224234035], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7894855134209781, 0.21051448657902214], [0.7894855134209781, 0.21051448657902214], [0.7894855134209781, 0.21051448657902214], [0.7617376371718375, 0.23826236282816257], [0.7894855134209781, 0.21051448657902214], [0.7617376371718375, 0.23826236282816257], [0.7856157816202116, 0.2143842183797884], [0.7894855134209781, 0.21051448657902214], [0.7894855134209781, 0.21051448657902214], [0.7856157816202116, 0.2143842183797884]]","[[0.7831619918109967, 0.21683800818900348], [0.00011699696655759449, 0.00011699696655759372]]"
"[[0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584], [0.8035442307127415, 0.1964557692872584]]","[[0.8035442307127415, 0.1964557692872584], [0.0, 0.0]]"
"[[0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328], [0.7949464234468673, 0.2050535765531328]]","[[0.7949464234468673, 0.2050535765531328], [0.0, 0.0]]"
"[[0.7853201711661358, 0.21467983876797161], [0.7853201711661358, 0.21467983876797161], [0.8019040581810878, 0.1980959418189123], [0.7995183486108784, 0.20048166132322898], [0.8010098555704944, 0.1989901543636131], [0.8019040581810878, 0.1980959418189123], [0.7853201711661358, 0.21467983876797161], [0.7835705396725285, 0.2164294702615789], [0.7835705396725285, 0.2164294702615789], [0.7853201711661358, 0.21467983876797161]]","[[0.7912758084553149, 0.20872419949197113], [6.492313220343996e-05, 6.492317443632526e-05]]"
"[[0.6276609279307561, 0.3723390720692438], [0.6276609279307561, 0.3723390720692438], [0.527367465916864, 0.47263253408313594], [0.6276609279307561, 0.3723390720692438], [0.6276609279307561, 0.3723390720692438], [0.530439890568236, 0.4695601094317639], [0.523718275601007, 0.47628172439899297], [0.530439890568236, 0.4695601094317639], [0.527367465916864, 0.47263253408313594], [0.6276609279307561, 0.3723390720692438]]","[[0.5777637628224987, 0.4222362371775012], [0.002492822137208924, 0.0024928221372089244]]"
"[[0.7180327194560814, 0.28196728054391856], [0.7204963652014609, 0.27950363479853907], [0.6331874281020328, 0.36681257189796734], [0.6303816515031526, 0.3696183484968474], [0.6303816515031526, 0.3696183484968474], [0.6434296545353035, 0.35657034546469646], [0.6439866372060478, 0.3560133627939523], [0.6439866372060478, 0.3560133627939523], [0.6439866372060478, 0.3560133627939523], [0.638359763436391, 0.36164023656360905]]","[[0.6546229145355719, 0.3453770854644282], [0.0010724042947544738, 0.0010724042947544764]]"
"[[0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705], [0.7714212849885295, 0.2285787150114705]]","[[0.7714212849885296, 0.2285787150114705], [1.232595164407831e-32, 0.0]]"
"[[0.7493404744066615, 0.2506595255933386], [0.750839641926157, 0.24916035807384299], [0.7493404744066615, 0.2506595255933386], [0.750839641926157, 0.24916035807384299], [0.750839641926157, 0.24916035807384299], [0.750839641926157, 0.24916035807384299], [0.750839641926157, 0.24916035807384299], [0.750839641926157, 0.24916035807384299], [0.750839641926157, 0.24916035807384299], [0.7493404744066615, 0.2506595255933386]]","[[0.7503898916703083, 0.24961010832969163], [4.7197568281717713e-07, 4.719756828172295e-07]]"
