prob,mean_var
"[[0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116]]","[[0.8033625116951264, 0.19663749823898116], [1.232595164407831e-32, 0.0]]"
"[[0.795945408101619, 0.2040546018324885], [0.7994374715936825, 0.20056253834042503], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885]]","[[0.7962946144508253, 0.20370539548328215], [1.0975056689342743e-06, 1.0975056689342217e-06]]"
"[[0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258]]","[[0.7990195028213049, 0.20098050711280258], [0.0, 0.0]]"
"[[0.39658933279365804, 0.603410667206342], [0.39658933279365804, 0.603410667206342], [0.39658933279365804, 0.603410667206342], [0.39658933279365804, 0.603410667206342], [0.39713332985068056, 0.6028666701493194], [0.39658933279365804, 0.603410667206342], [0.3915419320012183, 0.6084580679987818], [0.39658933279365804, 0.603410667206342], [0.39713332985068056, 0.6028666701493194], [0.6898162566799488, 0.3101837433200511]]","[[0.4255160845144477, 0.5744839154855523], [0.007764052736101016, 0.007764052736101018]]"
"[[0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397], [0.7759021084205934, 0.22409790151351397]]","[[0.7759021084205935, 0.22409790151351397], [1.232595164407831e-32, 0.0]]"
"[[0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7696756519215598, 0.23032434807844024], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447]]","[[0.768816669574727, 0.231183330425273], [8.198340801893239e-08, 8.19834080189324e-08]]"
"[[0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027]]","[[0.7803850833078972, 0.21961492662621027], [0.0, 0.0]]"
"[[0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828]]","[[0.7808199185170291, 0.21918009141707828], [1.232595164407831e-32, 0.0]]"
"[[0.7609102000386101, 0.2390897999613899], [0.7609102000386101, 0.2390897999613899], [0.7609102000386101, 0.2390897999613899], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7585522056367978, 0.24144779436320207], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782]]","[[0.7598322588552302, 0.24016774114476985], [5.760610911341935e-07, 5.760610911341976e-07]]"
"[[0.7695987370097748, 0.23040126299022531], [0.7710023065817726, 0.2289976934182274], [0.7710023065817726, 0.2289976934182274], [0.7695987370097748, 0.23040126299022531], [0.7710023065817726, 0.2289976934182274], [0.7710023065817726, 0.2289976934182274], [0.7710023065817726, 0.2289976934182274], [0.7710023065817726, 0.2289976934182274], [0.7710023065817726, 0.2289976934182274], [0.7710023065817726, 0.2289976934182274]]","[[0.7707215926673731, 0.22927840733262697], [3.152012069501081e-07, 3.1520120695014555e-07]]"
