prob,mean_var
"[[0.7090064852867147, 0.29099351471328544], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.6988897059936804, 0.30111029400631956]]","[[0.7070510802730816, 0.2929489197269185], [7.524589571176859e-06, 7.524589571176773e-06]]"
"[[0.7238514389221073, 0.2761485610778927], [0.7246595197301882, 0.2753404802698119], [0.7246595197301882, 0.2753404802698119], [0.7246595197301882, 0.2753404802698119], [0.7157223992925661, 0.28427760070743396], [0.7157223992925661, 0.28427760070743396], [0.7165604945306613, 0.28343950546933877], [0.7165604945306613, 0.28343950546933877], [0.7165604945306613, 0.28343950546933877], [0.7157223992925661, 0.28427760070743396]]","[[0.7194678679582355, 0.2805321320417647], [1.675195060775861e-05, 1.6751950607758606e-05]]"
"[[0.7074307605257596, 0.2925692394742405], [0.6739090794764765, 0.32609092052352345], [0.6699617110554238, 0.33003828894457604], [0.6378096770301824, 0.36219032296981757], [0.6739090794764765, 0.32609092052352345], [0.6749504793911157, 0.3250495206088841], [0.677326251823576, 0.3226737481764241], [0.6540941563878692, 0.3459058436121307], [0.652945932510916, 0.34705406748908385], [0.6378096770301824, 0.36219032296981757]]","[[0.6660146804707979, 0.3339853195292021], [0.000396724946351089, 0.000396724946351088]]"
"[[0.3319769548143944, 0.6680230451856056], [0.33086584370328326, 0.6691341562967167], [0.3319769548143944, 0.6680230451856056], [0.33086584370328326, 0.6691341562967167], [0.34846259166687665, 0.6515374083331235], [0.3319769548143944, 0.6680230451856056], [0.34846259166687665, 0.6515374083331235], [0.34846259166687665, 0.6515374083331235], [0.3431848138890989, 0.6568151861109012], [0.3431848138890989, 0.6568151861109012]]","[[0.33894199546285775, 0.6610580045371423], [5.839121008276376e-05, 5.839121008276286e-05]]"
"[[0.802858654637693, 0.1971413552964145], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.8014194073447872, 0.1985806025893203], [0.8014194073447872, 0.1985806025893203], [0.8014194073447872, 0.1985806025893203], [0.7804296746021427, 0.21957032539785737]]","[[0.7992171714794553, 0.20078283746124148], [3.9536391673915003e-05, 3.953635434652166e-05]]"
"[[0.7158798920798556, 0.28412009798603693], [0.6864246506334318, 0.3135753493665681], [0.6729775446903599, 0.3270224553096402], [0.6751532552846751, 0.324846744715325], [0.6777966425991151, 0.322203357400885], [0.6777966425991151, 0.322203357400885], [0.6777966425991151, 0.322203357400885], [0.6777966425991151, 0.322203357400885], [0.6835429112558314, 0.3164570887441686], [0.6777966425991151, 0.322203357400885]]","[[0.682296146693973, 0.3177038523126164], [0.0001385551847279603, 0.0001385552514528772]]"
"[[0.7073878797860639, 0.29261211027982864], [0.7073878797860639, 0.29261211027982864], [0.7032426533979441, 0.2967573466020559], [0.7032426533979441, 0.2967573466020559], [0.7058160640679066, 0.2941839259979859], [0.705720736372696, 0.29427925369319663], [0.7073878797860639, 0.29261211027982864], [0.6843969585876662, 0.31560304141233364], [0.7073878797860639, 0.29261211027982864], [0.7073878797860639, 0.29261211027982864]]","[[0.7039358464754477, 0.2960641465706771], [4.490328932049999e-05, 4.490333089530455e-05]]"
"[[0.7047493478100518, 0.2952506422558408], [0.7031775320918946, 0.296822457973998], [0.7031775320918946, 0.296822457973998], [0.7047493478100518, 0.2952506422558408], [0.7047493478100518, 0.2952506422558408], [0.7047493478100518, 0.2952506422558408], [0.7047493478100518, 0.2952506422558408], [0.7047493478100518, 0.2952506422558408], [0.7047493478100518, 0.2952506422558408], [0.7047493478100518, 0.2952506422558408]]","[[0.7044349846664203, 0.29556500539947217], [3.9529674429538177e-07, 3.952967442953538e-07]]"
"[[0.6312476778851287, 0.3687523221148712], [0.6312476778851287, 0.3687523221148712], [0.6345297291671801, 0.3654702708328199], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.6345297291671801, 0.3654702708328199], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067]]","[[0.6321588967522216, 0.36784110324777836], [1.4322646799869909e-06, 1.4322646799869828e-06]]"
"[[0.6268225159103958, 0.3731774840896042], [0.6301045671924471, 0.36989543280755294], [0.6301045671924471, 0.36989543280755294], [0.6301045671924471, 0.36989543280755294], [0.6272471969282001, 0.3727528030718], [0.6303027524837556, 0.3696972475162444], [0.6301045671924471, 0.36989543280755294], [0.6301045671924471, 0.36989543280755294], [0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042]]","[[0.6288540333105379, 0.37114596668946215], [2.4881074192707522e-06, 2.488107419270784e-06]]"
