prob,mean_var
"[[0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264]]","[[0.6088298781801773, 0.3911701218198226], [0.0, 3.0814879110195774e-33]]"
"[[0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786]]","[[0.7833677944017122, 0.21663220559828783], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.36528523531005863, 0.6347147646899414], [0.3745162135709282, 0.6254837864290718], [0.37314366455132025, 0.6268563354486797], [0.36847699788465366, 0.6315230021153463], [0.37314366455132025, 0.6268563354486797], [0.3745162135709282, 0.6254837864290718], [0.37314366455132025, 0.6268563354486797], [0.37314366455132025, 0.6268563354486797], [0.36847699788465366, 0.6315230021153463], [0.36847699788465366, 0.6315230021153463]]","[[0.3712323314311157, 0.6287676685688843], [9.432408213179162e-06, 9.432408213179228e-06]]"
"[[0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645]]","[[0.7773229926622536, 0.22267700733774648], [0.0, 7.703719777548943e-34]]"
"[[0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104]]","[[0.6887056689120089, 0.31129433108799104], [0.0, 0.0]]"
"[[0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637]]","[[0.6647893054402234, 0.33521069455977637], [1.232595164407831e-32, 0.0]]"
"[[0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577]]","[[0.7842385672680424, 0.2157614327319577], [0.0, 0.0]]"
"[[0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255]]","[[0.6055964034884745, 0.3944035965115255], [1.232595164407831e-32, 0.0]]"
"[[0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424]]","[[0.6854640187698574, 0.31453598123014237], [0.0, 3.0814879110195774e-33]]"
"[[0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452]]","[[0.7805514772355956, 0.21944852276440452], [1.232595164407831e-32, 0.0]]"
"[[0.746155124482354, 0.25384488545175343], [0.7445917741227551, 0.25540822587724477], [0.7415532933631349, 0.258446706636865], [0.7445917741227551, 0.25540822587724477], [0.7635876462120271, 0.23641236372208038], [0.7415532933631349, 0.258446706636865], [0.7445917741227551, 0.25540822587724477], [0.746155124482354, 0.25384488545175343], [0.757063419156713, 0.2429365907773943], [0.7415532933631349, 0.258446706636865]]","[[0.747139651679112, 0.2528603522945311], [4.840535105366308e-05, 4.8405302569862335e-05]]"
