level,fold,accuracy,f1,precision,recall,ppv,npv,error,leakage,overkill,indeterminate,imperfection,indeterminate-adjusted precision,indeterminate-adjusted Recall,indeterminate-adjusted f1
10,2,0.7803921568627451,0.391304347826087,0.6428571428571429,0.28125,0.6428571428571429,0.7973568281938326,0.19310344827586207,0.15862068965517243,0.034482758620689655,0.1206896551724138,0.3137931034482759,0.3673469387755102,0.41025641025641024,0.3876177658142665
90,3,0.8025210084033614,0.3561643835616438,0.8125,0.22807017543859648,0.8125,0.8018018018018018,0.16262975778546712,0.1522491349480969,0.010380622837370242,0.17647058823529413,0.3391003460207612,0.2765957446808511,0.42857142857142855,0.33620689655172414
50,2,0.7836734693877551,0.3614457831325301,0.6521739130434783,0.25,0.6521739130434783,0.7972972972972973,0.18275862068965518,0.15517241379310345,0.027586206896551724,0.15517241379310345,0.33793103448275863,0.3,0.4230769230769231,0.35106382978723405
60,3,0.8041666666666667,0.3561643835616438,0.8666666666666667,0.22413793103448276,0.8666666666666667,0.8,0.16262975778546712,0.15570934256055363,0.006920415224913495,0.1695501730103806,0.33217993079584773,0.28888888888888886,0.4155844155844156,0.34084391642769357
50,3,0.8041666666666667,0.37333333333333335,0.875,0.23728813559322035,0.875,0.7991071428571429,0.16262975778546712,0.15570934256055363,0.006920415224913495,0.1695501730103806,0.33217993079584773,0.2978723404255319,0.4155844155844156,0.3470178156467854
20,3,0.7983539094650206,0.36363636363636365,0.875,0.22950819672131148,0.875,0.7929515418502202,0.1695501730103806,0.16262975778546712,0.006920415224913495,0.15916955017301038,0.328719723183391,0.30434782608695654,0.38961038961038963,0.3417412530512612
100,3,0.8085106382978723,0.3835616438356164,0.9333333333333333,0.2413793103448276,0.9333333333333333,0.8,0.15570934256055363,0.1522491349480969,0.0034602076124567475,0.18685121107266436,0.342560553633218,0.28,0.42857142857142855,0.3387096774193548
90,2,0.7755102040816326,0.367816091954023,0.6956521739130435,0.25,0.6956521739130435,0.7837837837837838,0.1896551724137931,0.16551724137931034,0.02413793103448276,0.15517241379310345,0.3448275862068966,0.2962962962962963,0.38461538461538464,0.3347280334728034
80,1,0.8305084745762712,0.4117647058823529,0.5833333333333334,0.3181818181818182,0.5833333333333334,0.8584905660377359,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.18620689655172415,0.32413793103448274,0.23728813559322035,0.5238095238095238,0.3266171792152704
60,2,0.7901234567901234,0.37037037037037035,0.6521739130434783,0.25862068965517243,0.6521739130434783,0.8045454545454546,0.17586206896551723,0.1482758620689655,0.027586206896551724,0.16206896551724137,0.33793103448275863,0.3,0.44871794871794873,0.3595890410958904
40,1,0.8458149779735683,0.4262295081967213,0.5909090909090909,0.3333333333333333,0.5909090909090909,0.8731707317073171,0.1206896551724138,0.0896551724137931,0.03103448275862069,0.21724137931034482,0.33793103448275863,0.21311475409836064,0.5873015873015873,0.3127438231469441
40,3,0.803347280334728,0.3561643835616438,0.8125,0.22807017543859648,0.8125,0.8026905829596412,0.16262975778546712,0.1522491349480969,0.010380622837370242,0.17301038062283736,0.3356401384083045,0.2826086956521739,0.42857142857142855,0.34061135371179035
80,3,0.803347280334728,0.3561643835616438,0.9285714285714286,0.22033898305084745,0.9285714285714286,0.7955555555555556,0.16262975778546712,0.15916955017301038,0.0034602076124567475,0.17301038062283736,0.3356401384083045,0.2826086956521739,0.4025974025974026,0.33209723939019364
10,1,0.853448275862069,0.45161290322580644,0.6363636363636364,0.35,0.6363636363636364,0.8761904761904762,0.11724137931034483,0.0896551724137931,0.027586206896551724,0.2,0.31724137931034485,0.24561403508771928,0.5873015873015873,0.34637245068538947
30,3,0.8025210084033614,0.37333333333333335,0.875,0.23728813559322035,0.875,0.7972972972972973,0.16262975778546712,0.15570934256055363,0.006920415224913495,0.17647058823529413,0.3391003460207612,0.2857142857142857,0.4155844155844156,0.3386243386243386
20,2,0.7831325301204819,0.38636363636363635,0.6538461538461539,0.27419354838709675,0.6538461538461539,0.7982062780269058,0.18620689655172415,0.15517241379310345,0.03103448275862069,0.1413793103448276,0.3275862068965517,0.3333333333333333,0.4230769230769231,0.3728813559322034
20,1,0.8454935622317596,0.45454545454545453,0.625,0.35714285714285715,0.625,0.8708133971291866,0.12413793103448276,0.09310344827586207,0.03103448275862069,0.19655172413793104,0.32068965517241377,0.25,0.5714285714285714,0.34782608695652173
100,1,0.8347457627118644,0.417910447761194,0.6086956521739131,0.3181818181818182,0.6086956521739131,0.8591549295774648,0.13448275862068965,0.10344827586206896,0.03103448275862069,0.18620689655172415,0.32068965517241377,0.2413793103448276,0.5238095238095238,0.33047210300429186
30,2,0.7857142857142857,0.38636363636363635,0.6296296296296297,0.2786885245901639,0.6296296296296297,0.8044444444444444,0.18620689655172415,0.15172413793103448,0.034482758620689655,0.1310344827586207,0.31724137931034485,0.3541666666666667,0.4358974358974359,0.3908045977011494
80,2,0.7890295358649789,0.358974358974359,0.6666666666666666,0.24561403508771928,0.6666666666666666,0.8009259259259259,0.1724137931034483,0.1482758620689655,0.02413793103448276,0.18275862068965518,0.3551724137931035,0.2641509433962264,0.44871794871794873,0.332541567695962
70,3,0.8025210084033614,0.3561643835616438,0.8666666666666667,0.22413793103448276,0.8666666666666667,0.7982062780269058,0.16262975778546712,0.15570934256055363,0.006920415224913495,0.17647058823529413,0.3391003460207612,0.2765957446808511,0.4155844155844156,0.33213572854291423
70,1,0.8421052631578947,0.4375,0.6363636363636364,0.3333333333333333,0.6363636363636364,0.8640776699029126,0.12413793103448276,0.09655172413793103,0.027586206896551724,0.21379310344827587,0.33793103448275863,0.2222222222222222,0.5555555555555556,0.31746031746031744
30,1,0.8405172413793104,0.4307692307692308,0.6086956521739131,0.3333333333333333,0.6086956521739131,0.8660287081339713,0.12758620689655173,0.09655172413793103,0.03103448275862069,0.2,0.3275862068965517,0.23333333333333334,0.5555555555555556,0.3286384976525822
60,1,0.8434782608695652,0.4375,0.6363636363636364,0.3333333333333333,0.6363636363636364,0.8653846153846154,0.12413793103448276,0.09655172413793103,0.027586206896551724,0.20689655172413793,0.3310344827586207,0.22950819672131148,0.5555555555555556,0.3248259860788863
70,2,0.7923728813559322,0.3950617283950617,0.6956521739130435,0.27586206896551724,0.6956521739130435,0.8028169014084507,0.16896551724137931,0.14482758620689656,0.02413793103448276,0.18620689655172415,0.3551724137931035,0.2807017543859649,0.46153846153846156,0.34909090909090906
100,2,0.7838983050847458,0.32,0.6,0.21818181818181817,0.6,0.8009259259259259,0.17586206896551723,0.1482758620689655,0.027586206896551724,0.18620689655172415,0.3620689655172414,0.23529411764705882,0.44871794871794873,0.308710033076075
90,1,0.8409090909090909,0.4262295081967213,0.5909090909090909,0.3333333333333333,0.5909090909090909,0.8686868686868687,0.1206896551724138,0.0896551724137931,0.03103448275862069,0.2413793103448276,0.3620689655172414,0.19117647058823528,0.5873015873015873,0.288455772113943
40,2,0.7813765182186235,0.37209302325581395,0.64,0.26229508196721313,0.64,0.7972972972972973,0.18620689655172415,0.15517241379310345,0.03103448275862069,0.1482758620689655,0.33448275862068966,0.3137254901960784,0.4230769230769231,0.3602865916069601
50,1,0.8354978354978355,0.40625,0.5909090909090909,0.30952380952380953,0.5909090909090909,0.861244019138756,0.1310344827586207,0.1,0.03103448275862069,0.20344827586206896,0.33448275862068966,0.21666666666666667,0.5396825396825397,0.3091990206365862
10,3,0.799163179916318,0.3684210526315789,0.875,0.23333333333333334,0.875,0.7937219730941704,0.16608996539792387,0.15916955017301038,0.006920415224913495,0.17301038062283736,0.3391003460207612,0.2857142857142857,0.4025974025974026,0.33423180592991913
