prob,mean_var
"[[0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116], [0.8033625116951263, 0.19663749823898116]]","[[0.8033625116951264, 0.19663749823898116], [1.232595164407831e-32, 0.0]]"
"[[0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.795945408101619, 0.2040546018324885], [0.7994374715936825, 0.20056253834042503], [0.7994374715936825, 0.20056253834042503], [0.7994374715936825, 0.20056253834042503]]","[[0.796993027149238, 0.20300698278486945], [2.560846560846641e-06, 2.5608465608465184e-06]]"
"[[0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258], [0.7990195028213049, 0.20098050711280258]]","[[0.7990195028213049, 0.20098050711280258], [0.0, 0.0]]"
"[[0.39658933279365804, 0.603410667206342], [0.3915419320012183, 0.6084580679987818], [0.39713332985068056, 0.6028666701493194], [0.39713332985068056, 0.6028666701493194], [0.39658933279365804, 0.603410667206342], [0.39658933279365804, 0.603410667206342], [0.6507315472130659, 0.3492684527869341], [0.39658933279365804, 0.603410667206342], [0.39658933279365804, 0.603410667206342], [0.39658933279365804, 0.603410667206342]]","[[0.4216076135677594, 0.5783923864322407], [0.0058355189541438235, 0.005835518954143823]]"
"[[0.7759021084205934, 0.22409790151351397], [0.7768565332504077, 0.22314347668369972], [0.7768565332504077, 0.22314347668369972], [0.7768565332504077, 0.22314347668369972], [0.7768565332504077, 0.22314347668369972], [0.7768565332504077, 0.22314347668369972], [0.7759021084205934, 0.22409790151351397], [0.7768565332504077, 0.22314347668369972], [0.7768565332504077, 0.22314347668369972], [0.7768565332504077, 0.22314347668369972]]","[[0.7766656482844448, 0.22333436164966258], [1.4574828092258037e-07, 1.4574828092255493e-07]]"
"[[0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7715400490840718, 0.22845995091592816], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447], [0.7687212270917456, 0.23127877290825447]]","[[0.7690031092909783, 0.2309968907090218], [7.151181681979624e-07, 7.151181681980189e-07]]"
"[[0.7803850833078972, 0.21961492662621027], [0.7789815137358994, 0.22101849619820815], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7789815137358994, 0.22101849619820815], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027], [0.7803850833078972, 0.21961492662621027]]","[[0.7801043693934977, 0.21989564054060984], [3.152012069501081e-07, 3.15201206950133e-07]]"
"[[0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7808199185170293, 0.21918009141707828], [0.7794163489450314, 0.2205836609890762], [0.7794163489450314, 0.2205836609890762], [0.7794163489450314, 0.2205836609890762], [0.7794163489450314, 0.2205836609890762], [0.7808199185170293, 0.21918009141707828]]","[[0.7802584906882302, 0.21974151924587745], [4.728018104251621e-07, 4.7280181042521827e-07]]"
"[[0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7595066304666123, 0.24049336953338782], [0.7585522056367978, 0.24144779436320207], [0.7585522056367978, 0.24144779436320207], [0.7585522056367978, 0.24144779436320207], [0.7585522056367978, 0.24144779436320207], [0.7585522056367978, 0.24144779436320207], [0.7585522056367978, 0.24144779436320207], [0.7585522056367978, 0.24144779436320207]]","[[0.7588385330857422, 0.2411614669142578], [1.9129461871093125e-07, 1.9129461871085335e-07]]"
"[[0.7695987370097748, 0.23040126299022531], [0.7695987370097748, 0.23040126299022531], [0.7695987370097748, 0.23040126299022531], [0.7695987370097748, 0.23040126299022531], [0.7710023065817726, 0.2289976934182274], [0.7710023065817726, 0.2289976934182274], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954], [0.7686443121799605, 0.23135568782003954]]","[[0.7694976809922486, 0.2305023190077514], [7.481598923157609e-07, 7.48159892315811e-07]]"
