prob,mean_var
"[[0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6088298781801773, 0.39117012181982264], [0.6109078002580993, 0.38909219974190057], [0.6109078002580993, 0.38909219974190057], [0.6109078002580993, 0.38909219974190057], [0.6109078002580993, 0.38909219974190057], [0.6109078002580993, 0.38909219974190057], [0.6109078002580993, 0.38909219974190057], [0.6109078002580993, 0.38909219974190057]]","[[0.6102844236347227, 0.3897155763652772], [9.067296340023036e-07, 9.067296340023523e-07]]"
"[[0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786], [0.7833677944017121, 0.21663220559828786]]","[[0.7833677944017122, 0.21663220559828783], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.36561856864339193, 0.6343814313566081], [0.36494349167410456, 0.6350565083258954], [0.36028523531005857, 0.6397147646899414], [0.36028523531005857, 0.6397147646899414], [0.36028523531005857, 0.6397147646899414], [0.36028523531005857, 0.6397147646899414], [0.3745162135709282, 0.6254837864290718], [0.37314366455132025, 0.6268563354486797], [0.37314366455132025, 0.6268563354486797], [0.36847699788465366, 0.6315230021153463]]","[[0.3660983542115953, 0.6339016457884046], [3.125244046085295e-05, 3.1252440460852976e-05]]"
"[[0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645], [0.7773229926622536, 0.22267700733774645]]","[[0.7773229926622536, 0.22267700733774648], [0.0, 7.703719777548943e-34]]"
"[[0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104], [0.6887056689120089, 0.31129433108799104]]","[[0.6887056689120089, 0.31129433108799104], [0.0, 0.0]]"
"[[0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637], [0.6647893054402235, 0.33521069455977637]]","[[0.6647893054402234, 0.33521069455977637], [1.232595164407831e-32, 0.0]]"
"[[0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577], [0.7842385672680424, 0.2157614327319577]]","[[0.7842385672680424, 0.2157614327319577], [0.0, 0.0]]"
"[[0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255], [0.6055964034884744, 0.3944035965115255]]","[[0.6055964034884745, 0.3944035965115255], [1.232595164407831e-32, 0.0]]"
"[[0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424], [0.6854640187698574, 0.3145359812301424]]","[[0.6854640187698574, 0.31453598123014237], [0.0, 3.0814879110195774e-33]]"
"[[0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.7805514772355955, 0.21944852276440452], [0.780032383688979, 0.219967616311021]]","[[0.7804995678809339, 0.21950043211906617], [2.4251229912500713e-08, 2.4251229912498112e-08]]"
"[[0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388], [0.7641067397586436, 0.23589327017546388]]","[[0.7641067397586436, 0.23589327017546385], [0.0, 7.703719777548943e-34]]"
"[[0.7557880131324675, 0.24421198686753245], [0.7544546797991343, 0.2455453202008658], [0.7544546797991343, 0.2455453202008658], [0.7544546797991343, 0.2455453202008658], [0.7544546797991343, 0.2455453202008658], [0.7544546797991343, 0.2455453202008658], [0.7544546797991343, 0.2455453202008658], [0.7557880131324675, 0.24421198686753245], [0.7557880131324675, 0.24421198686753245], [0.7557880131324675, 0.24421198686753245]]","[[0.7549880131324676, 0.2450119868675325], [4.2666666666657276e-07, 4.266666666666793e-07]]"
"[[0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658], [0.7859430214263133, 0.21405697857368658]]","[[0.7859430214263134, 0.2140569785736866], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524], [0.7967907761939476, 0.2032092238060524]]","[[0.7967907761939477, 0.2032092238060524], [1.232595164407831e-32, 0.0]]"
"[[0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643], [0.7778249333512636, 0.22217506664873643]]","[[0.7778249333512636, 0.2221750666487364], [0.0, 7.703719777548943e-34]]"
"[[0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338], [0.7786212556202367, 0.22137874437976338]]","[[0.7786212556202365, 0.22137874437976338], [1.232595164407831e-32, 0.0]]"
"[[0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096], [0.7028518246747589, 0.29714817532524096]]","[[0.7028518246747588, 0.29714817532524096], [1.232595164407831e-32, 0.0]]"
"[[0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932], [0.7797514981334907, 0.22024850186650932]]","[[0.7797514981334908, 0.22024850186650932], [1.232595164407831e-32, 0.0]]"
"[[0.7799891623496169, 0.22001084758449055], [0.7799891623496169, 0.22001084758449055], [0.7799891623496169, 0.22001084758449055], [0.7799891623496169, 0.22001084758449055], [0.7749971003651334, 0.22500290956897406], [0.7734337500055345, 0.2265662499944654], [0.7734337500055345, 0.2265662499944654], [0.7734337500055345, 0.2265662499944654], [0.7794700688030004, 0.22052994113110705], [0.7799891623496169, 0.22001084758449055]]","[[0.7774714230932822, 0.222528583860593], [9.072032434101937e-06, 9.072008367715389e-06]]"
"[[0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988], [0.777181125582012, 0.222818874417988]]","[[0.777181125582012, 0.22281887441798803], [0.0, 7.703719777548943e-34]]"
"[[0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664], [0.59214356001336, 0.40785643998664]]","[[0.59214356001336, 0.40785643998663995], [0.0, 3.0814879110195774e-33]]"
"[[0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853], [0.5771359945157147, 0.4228640054842853]]","[[0.5771359945157146, 0.4228640054842853], [1.232595164407831e-32, 0.0]]"
"[[0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306], [0.8009016006473169, 0.19909839935268306]]","[[0.8009016006473167, 0.1990983993526831], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878], [0.7733326993418611, 0.22666730065813878]]","[[0.773332699341861, 0.22666730065813878], [1.232595164407831e-32, 0.0]]"
