prob,mean_var
"[[0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7090064852867147, 0.29099351471328544], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.6988897059936804, 0.30111029400631956]]","[[0.7070510802730816, 0.2929489197269185], [7.524589571176859e-06, 7.524589571176773e-06]]"
"[[0.7238514389221073, 0.2761485610778927], [0.7238514389221073, 0.2761485610778927], [0.7246595197301882, 0.2753404802698119], [0.7157223992925661, 0.28427760070743396], [0.7246595197301882, 0.2753404802698119], [0.7238514389221073, 0.2761485610778927], [0.7238514389221073, 0.2761485610778927], [0.7246595197301882, 0.2753404802698119], [0.7246595197301882, 0.2753404802698119], [0.7246595197301882, 0.2753404802698119]]","[[0.7234425753631937, 0.27655742463680644], [6.767456416251902e-06, 6.767456416251902e-06]]"
"[[0.6749504793911157, 0.3250495206088841], [0.677326251823576, 0.3226737481764241], [0.652945932510916, 0.34705406748908385], [0.652945932510916, 0.34705406748908385], [0.6378096770301824, 0.36219032296981757], [0.6435559456868988, 0.35644405431310117], [0.6507658734296496, 0.3492341265703504], [0.6699617110554238, 0.33003828894457604], [0.6378096770301824, 0.36219032296981757], [0.6378096770301824, 0.36219032296981757]]","[[0.6535881157499043, 0.3464118842500956], [0.00021442559796286653, 0.00021442559796286745]]"
"[[0.34846259166687665, 0.6515374083331235], [0.3319769548143944, 0.6680230451856056], [0.32691847528223067, 0.6730815247177694], [0.31762808538416415, 0.6823719146158358], [0.3010607778735858, 0.6989392221264142], [0.2975313661088799, 0.70246863389112], [0.3010607778735858, 0.6989392221264142], [0.3010607778735858, 0.6989392221264142], [0.3010607778735858, 0.6989392221264142], [0.2975313661088799, 0.70246863389112]]","[[0.3124291950859769, 0.6875708049140231], [0.0002878342536616095, 0.0002878342536616088]]"
"[[0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642]]","[[0.8009250327040711, 0.19907497723003642], [1.232595164407831e-32, 0.0]]"
"[[0.7143080763616984, 0.28569191370419417], [0.7143080763616984, 0.28569191370419417], [0.7143080763616984, 0.28569191370419417], [0.7158798920798556, 0.28412009798603693], [0.7158798920798556, 0.28412009798603693], [0.7143080763616984, 0.28569191370419417], [0.7142127486664877, 0.2857872413994049], [0.7143080763616984, 0.28569191370419417], [0.7117346656917358, 0.2882653343082642], [0.7117346656917358, 0.2882653343082642]]","[[0.7140982246018164, 0.2859017674508978], [1.7754804014464164e-06, 1.7754897934015052e-06]]"
"[[0.7073878797860639, 0.29261211027982864], [0.7058160640679066, 0.2941839259979859], [0.7058160640679066, 0.2941839259979859], [0.7073878797860639, 0.29261211027982864], [0.7032426533979441, 0.2967573466020559], [0.7032426533979441, 0.2967573466020559], [0.7032426533979441, 0.2967573466020559], [0.705720736372696, 0.29427925369319663], [0.705720736372696, 0.29427925369319663], [0.7058160640679066, 0.2941839259979859]]","[[0.7053393384715072, 0.2946606545746176], [2.255403852884747e-06, 2.2554163501223876e-06]]"
"[[0.7030822043966838, 0.29691778566920873], [0.7030822043966838, 0.29691778566920873], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.7030822043966838, 0.29691778566920873], [0.7047493478100518, 0.2952506422558408], [0.7047493478100518, 0.2952506422558408], [0.7031775320918946, 0.296822457973998], [0.7047493478100518, 0.2952506422558408], [0.6845374189208117, 0.3154625810791883]]","[[0.7012417850476776, 0.2987582079984471], [3.3066661385535136e-05, 3.30666971079967e-05]]"
"[[0.6312476778851287, 0.3687523221148712], [0.6345297291671801, 0.3654702708328199], [0.6345297291671801, 0.3654702708328199], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067], [0.631672358902933, 0.368327641097067]]","[[0.632201364854002, 0.367798635145998], [1.371101065822584e-06, 1.371101065822604e-06]]"
"[[0.6301045671924471, 0.36989543280755294], [0.6301045671924471, 0.36989543280755294], [0.6272471969282001, 0.3727528030718], [0.6272471969282001, 0.3727528030718], [0.6301045671924471, 0.36989543280755294], [0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042]]","[[0.6278920674985721, 0.37210793250142793], [2.1236883790106823e-06, 2.123688379010683e-06]]"
