prob,mean_var
"[[0.6870078297575462, 0.3129921702424538], [0.6849786412705572, 0.31502135872944276], [0.6926191092565049, 0.30738089074349495], [0.6926191092565049, 0.30738089074349495], [0.6871587003518237, 0.3128412996481763], [0.7090064852867147, 0.29099351471328544], [0.6970502500489868, 0.3029497499510132], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975], [0.7078268264313025, 0.2921731735686975]]","[[0.6973920604522547, 0.30260793954774545], [8.73873729780156e-05, 8.738737297801511e-05]]"
"[[0.7250310977775194, 0.27496890222248066], [0.7250310977775194, 0.27496890222248066], [0.7250310977775194, 0.27496890222248066], [0.7250310977775194, 0.27496890222248066], [0.7250310977775194, 0.27496890222248066], [0.7238514389221073, 0.2761485610778927], [0.7238514389221073, 0.2761485610778927], [0.7238514389221073, 0.2761485610778927], [0.7246595197301882, 0.2753404802698119], [0.7246595197301882, 0.2753404802698119]]","[[0.7246028845114296, 0.2753971154885705], [2.617259523419707e-07, 2.617259523419707e-07]]"
"[[0.7074307605257596, 0.2925692394742405], [0.7058589448076024, 0.2941410551923977], [0.7058589448076024, 0.2941410551923977], [0.7058589448076024, 0.2941410551923977], [0.7058589448076024, 0.2941410551923977], [0.7058589448076024, 0.2941410551923977], [0.7058589448076024, 0.2941410551923977], [0.7058589448076024, 0.2941410551923977], [0.7058589448076024, 0.2941410551923977], [0.6540941563878692, 0.3459058436121307]]","[[0.7008396475374448, 0.29916035246255535], [0.00024301304739294752, 0.00024301304739294594]]"
"[[0.33086584370328326, 0.6691341562967167], [0.3319769548143944, 0.6680230451856056], [0.30680704653030216, 0.6931929534696977], [0.3010607778735858, 0.6989392221264142], [0.3010607778735858, 0.6989392221264142], [0.3010607778735858, 0.6989392221264142], [0.30680704653030216, 0.6931929534696977], [0.3010607778735858, 0.6989392221264142], [0.3010607778735858, 0.6989392221264142], [0.3010607778735858, 0.6989392221264142]]","[[0.30828215588197966, 0.6917178441180203], [0.00013887081492971565, 0.00013887081492971624]]"
"[[0.800925032704071, 0.19907497723003642], [0.800925032704071, 0.19907497723003642], [0.802858654637693, 0.1971413552964145], [0.8036967498757882, 0.19630326005831925], [0.8036967498757882, 0.19630326005831925], [0.8036967498757882, 0.19630326005831925], [0.8036967498757882, 0.19630326005831925], [0.8036967498757882, 0.19630326005831925], [0.8036967498757882, 0.19630326005831925], [0.802858654637693, 0.1971413552964145]]","[[0.8029747873938259, 0.19702522254028174], [1.1557341162605466e-06, 1.1557341162605265e-06]]"
"[[0.6994839457396506, 0.3005160542603494], [0.6994839457396506, 0.3005160542603494], [0.7143080763616984, 0.28569191370419417], [0.7158798920798556, 0.28412009798603693], [0.7158798920798556, 0.28412009798603693], [0.7158798920798556, 0.28412009798603693], [0.6864246506334318, 0.3135753493665681], [0.6994839457396506, 0.3005160542603494], [0.6864246506334318, 0.3135753493665681], [0.6873453667459639, 0.31265463325403614]]","[[0.7020594257833045, 0.29794057024305254], [0.00014483405206481764, 0.0001448341587771219]]"
"[[0.7073878797860639, 0.29261211027982864], [0.6907697628080531, 0.3092302371919467], [0.6729194674364908, 0.32708053256350905], [0.6772250369420604, 0.3227749630579395], [0.6686674388739284, 0.3313325611260714], [0.6602777829027722, 0.33972221709722783], [0.658102072308457, 0.34189792769154304], [0.6638713030776877, 0.3361286969223123], [0.6638713030776877, 0.3361286969223123], [0.6638713030776877, 0.3361286969223123]]","[[0.6726963350290889, 0.3273036639775003], [0.00021677995107261135, 0.0002167800199985277]]"
"[[0.7030822043966838, 0.29691778566920873], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.700604121421932, 0.299395878578068], [0.7031775320918946, 0.296822457973998]]","[[0.7011092707864034, 0.29889072722677507], [1.021157890177336e-06, 1.0211659193259872e-06]]"
"[[0.6312476778851287, 0.3687523221148712], [0.6345297291671801, 0.3654702708328199], [0.6312476778851287, 0.3687523221148712], [0.6312476778851287, 0.3687523221148712], [0.6312476778851287, 0.3687523221148712], [0.6312476778851287, 0.3687523221148712], [0.6345297291671801, 0.3654702708328199], [0.6312476778851287, 0.3687523221148712], [0.6312476778851287, 0.3687523221148712], [0.6312476778851287, 0.3687523221148712]]","[[0.631904088141539, 0.3680959118584609], [1.7234976988824281e-06, 1.7234976988823117e-06]]"
"[[0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042], [0.6268225159103958, 0.3731774840896042], [0.6243513669426529, 0.37564863305734714], [0.625531025798065, 0.3744689742019351], [0.6243513669426529, 0.37564863305734714], [0.6243513669426529, 0.37564863305734714], [0.625531025798065, 0.3744689742019351], [0.6243513669426529, 0.37564863305734714]]","[[0.6255757583008326, 0.37442424169916755], [1.2218156933563414e-06, 1.2218156933563416e-06]]"
"[[0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834], [0.6234837506982734, 0.376516259235834]]","[[0.6234837506982734, 0.37651625923583404], [0.0, 3.0814879110195774e-33]]"
"[[0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537], [0.7636041398347463, 0.2363958601652537]]","[[0.7636041398347463, 0.23639586016525369], [0.0, 7.703719777548943e-34]]"
