prob,mean_var
"[[0.6097852970968923, 0.3902147029031077], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.6115531783384577, 0.38844682166154226], [0.607785570376936, 0.392214429623064], [0.6115531783384577, 0.38844682166154226], [0.634515711299707, 0.3654842887002929], [0.6360633303473261, 0.36393666965267396], [0.6360633303473261, 0.36393666965267396], [0.6316188859028816, 0.36838111409711843]]","[[0.6194509622801856, 0.38054903771981435], [0.00015533657444903923, 0.00015533657444903934]]"
"[[0.5631919514757397, 0.43680804852426025], [0.5706069715378187, 0.42939302846218136], [0.5655168814477286, 0.43448311855227145], [0.6886010221451041, 0.31139897785489595], [0.5906084783251102, 0.4093915216748898], [0.5655168814477286, 0.43448311855227145], [0.5906084783251102, 0.4093915216748898], [0.6886010221451041, 0.31139897785489595], [0.6886010221451041, 0.31139897785489595], [0.7059674805983848, 0.2940325194016153]]","[[0.6217820189592932, 0.3782179810407067], [0.0034808321667673357, 0.0034808321667673336]]"
"[[0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.763331616792191, 0.23666838320780914], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.763331616792191, 0.23666838320780914], [0.7619982834588576, 0.23800171654114247], [0.7619982834588576, 0.23800171654114247], [0.7619982834588576, 0.23800171654114247], [0.7619982834588576, 0.23800171654114247]]","[[0.7631234867108901, 0.23687651328910997], [9.321858682001534e-07, 9.321858682001462e-07]]"
"[[0.6703512465573551, 0.32964875344264494], [0.6666643926845892, 0.33333560731541084], [0.5717579732665093, 0.42824202673349077], [0.6666643926845892, 0.33333560731541084], [0.6666643926845892, 0.33333560731541084], [0.6666643926845892, 0.33333560731541084], [0.6819790043880832, 0.3180209956119168], [0.6703512465573551, 0.32964875344264494], [0.6666643926845892, 0.33333560731541084], [0.6797273149334234, 0.32027268506657663]]","[[0.6607488749125672, 0.3392511250874328], [0.000908965799391555, 0.0009089657993915562]]"
"[[0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7015897222035584, 0.29841027779644147], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224]]","[[0.7029825793464155, 0.2970174206535844], [2.1556122448978822e-07, 2.1556122448980363e-07]]"
"[[0.31718577114313323, 0.6828142288568668], [0.31454828517231387, 0.6854517148276861], [0.3201622021195642, 0.6798377978804359], [0.31847917223748684, 0.6815208277625132], [0.3201440174105287, 0.6798559825894713], [0.32225449360100483, 0.6777455063989951], [0.32225449360100483, 0.6777455063989951], [0.32225449360100483, 0.6777455063989951], [0.32225449360100483, 0.6777455063989951], [0.32225449360100483, 0.6777455063989951]]","[[0.32017919160880515, 0.679820808391195], [6.509365690478883e-06, 6.5093656904789875e-06]]"
"[[0.7303646436044207, 0.2696353563955794], [0.7303646436044207, 0.2696353563955794], [0.7295516354743393, 0.27044836452566073], [0.7295516354743393, 0.27044836452566073], [0.7295516354743393, 0.27044836452566073], [0.7274411592838631, 0.2725588407161369], [0.7172422154994749, 0.28275778450052524], [0.7274411592838631, 0.2725588407161369], [0.7257763141108212, 0.27422368588917884], [0.7257763141108212, 0.27422368588917884]]","[[0.7273061355920702, 0.2726938644079298], [1.3983540964085232e-05, 1.3983540964085345e-05]]"
"[[0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7529619604449169, 0.24703803955508308], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182]]","[[0.7536936677619901, 0.2463063322380099], [5.948839976205192e-08, 5.948839976203973e-08]]"
"[[0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7365800440853371, 0.2634199559146628], [0.7365800440853371, 0.2634199559146628], [0.7354154570383971, 0.2645845429616028], [0.7365800440853371, 0.2634199559146628], [0.7365800440853371, 0.2634199559146628], [0.7365800440853371, 0.2634199559146628], [0.7365800440853371, 0.2634199559146628]]","[[0.7361142092665611, 0.26388579073343876], [3.2550311757610435e-07, 3.2550311757610435e-07]]"
"[[0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7623291676299493, 0.23767082243594326], [0.7623291676299493, 0.23767082243594326], [0.7623291676299493, 0.23767082243594326]]","[[0.7595291676299493, 0.24047082243594325], [3.3600000000001927e-06, 3.360000000000006e-06]]"
