prob,mean_var
"[[0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064], [0.607785570376936, 0.392214429623064]]","[[0.6077855703769359, 0.39221442962306396], [1.232595164407831e-32, 3.0814879110195774e-33]]"
"[[0.7008248923308363, 0.2991751076691637], [0.6940574504703712, 0.3059425495296288], [0.7044198615507656, 0.2955801384492343], [0.7044198615507656, 0.2955801384492343], [0.7059674805983848, 0.2940325194016153], [0.7059674805983848, 0.2940325194016153], [0.7059674805983848, 0.2940325194016153], [0.7015230361539402, 0.29847696384605976], [0.7023360442840215, 0.2976639557159784], [0.7023360442840215, 0.2976639557159784]]","[[0.7027819632419876, 0.29721803675801234], [1.177378187240583e-05, 1.1773781872405662e-05]]"
"[[0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783], [0.7641446249222722, 0.23585537507772783]]","[[0.7641446249222722, 0.23585537507772783], [0.0, 0.0]]"
"[[0.6848758297849086, 0.3151241702150914], [0.6848758297849086, 0.3151241702150914], [0.6797273149334234, 0.32027268506657663], [0.6819790043880832, 0.3180209956119168], [0.6819790043880832, 0.3180209956119168], [0.6848758297849086, 0.3151241702150914], [0.6666643926845892, 0.33333560731541084], [0.6848758297849086, 0.3151241702150914], [0.6848758297849086, 0.3151241702150914], [0.6864234488325276, 0.31357655116747235]]","[[0.6821152314151249, 0.317884768584875], [3.011329323182697e-05, 3.0113293231827225e-05]]"
"[[0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224], [0.7031373412511774, 0.2968626587488224]]","[[0.7031373412511774, 0.29686265874882245], [0.0, 3.0814879110195774e-33]]"
"[[0.31454828517231387, 0.6854517148276861], [0.31847917223748684, 0.6815208277625132], [0.3201440174105287, 0.6798559825894713], [0.32225449360100483, 0.6777455063989951], [0.3201440174105287, 0.6798559825894713], [0.3201440174105287, 0.6798559825894713], [0.3201622021195642, 0.6798377978804359], [0.3201622021195642, 0.6798377978804359], [0.3163411682514715, 0.6836588317485285], [0.3201622021195642, 0.6798377978804359]]","[[0.31925417778525556, 0.6807458222147444], [4.508254667297223e-06, 4.5082546672971515e-06]]"
"[[0.7295516354743393, 0.27044836452566073], [0.7295516354743393, 0.27044836452566073], [0.7274411592838631, 0.2725588407161369], [0.7295516354743393, 0.27044836452566073], [0.7303646436044207, 0.2696353563955794], [0.7295516354743393, 0.27044836452566073], [0.7295516354743393, 0.27044836452566073], [0.7295516354743393, 0.27044836452566073], [0.7274411592838631, 0.2725588407161369], [0.7295516354743393, 0.27044836452566073]]","[[0.7292108410492523, 0.27078915895074784], [8.407793319007838e-07, 8.407793319007445e-07]]"
"[[0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182], [0.7537749685749983, 0.24622503142500182]]","[[0.7537749685749981, 0.2462250314250018], [1.232595164407831e-32, 7.703719777548943e-34]]"
"[[0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028], [0.7354154570383971, 0.2645845429616028]]","[[0.7354154570383971, 0.26458454296160283], [0.0, 3.0814879110195774e-33]]"
"[[0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7583291676299492, 0.24167082243594326], [0.7623291676299493, 0.23767082243594326], [0.7623291676299493, 0.23767082243594326], [0.7583291676299492, 0.24167082243594326], [0.7623291676299493, 0.23767082243594326], [0.7623291676299493, 0.23767082243594326], [0.7623291676299493, 0.23767082243594326]]","[[0.7603291676299493, 0.23967082243594326], [4.00000000000023e-06, 4.0000000000000074e-06]]"
